	AIDS	cancer	cardiac hypertrophy	gastric cancer	glioma	non-small cell lung cancer	barretts Esophagus	esophageal adenocarcinoma	lung cancer	nasopharyngeal carcinoma	dilated cardiomyopathy	HCV	human spinocerebellar ataxia type 8	Spinocerebellar ataxia type 8	Alzheimers disease	Inclusion body myositis	melanoma	colorectal cancer	papillary thyroid carcinoma	osteosarcoma	breast cancer	aging	cervical cancer	oesophagus cancer	ovarian cancer	parotid cancer	tongue cancer	depression	Huntingtons disease	psychiatric disease	schizophrenia	testicular cancer	blepharophimosis syndrome	prostat	endometrial cancer	carcinoma	colon cancer	gallbladder cancer	esophageal squamous cell carcinoma	acute myeloid leukemia	abdominal aortic aneurysm	acute lymphoblastic leukemia	aortic aneurysm	atherosclerosis	basal cell carcinoma	Cardiovascular disease	coronary artery disease	coronary disease	coronary heart disease	Diabetes	endometriosis	Esophageal squamous cell cancer	familial and sporadic intracranial aneurysms	Glaucoma	hereditary cutaneous malignant melanoma	intracranial aneurism	ischemic stroke	leukemia	myocardial infarction	neural system tumors syndrome	Neurofibromatosis type 1	periodontitis	peripheral artery disease	Plexiform neurofibroma	Stroke	tumor	type 2 diabetes	cat eye syndrome	adolescent idiopathic scoliosis	bone diseases	postmenopausal osteoporosis	hepatocellular carcinoma	prostate cancer	bipolar disorder	panic disorder	Pancreatic ductal adenocarcinoma	DiGeorge syndrome	velocardiofacial syndrome	affective disorders	Autism spectrum disorder	Major depression	chronic lymphocytic leukemia	lymphocytic leukemia	lymphoma	myeloma	myotonic dystrophy type 1	embryonal carcinoma	oral squamous cell carcinoma	autoimmune disease	B-cell neoplasms	kidney cancer	systemic lupus erythaematosus	bladder cancer	lung adenocarcinoma	multiple myeloma	pancreatic cancer	renal cell carcinoma	pseudohypoparathyroidism type Ib	adrenocortical carcinomas	Beckwith-Wiedemann syndrome	biparental complete hydatidiform moles	choricarcinoma	chronic myeloproliferative disorders	Congenital hyperinsulinism	germ cell tumor	gestational choriocarcinoma	gestational trophoblastic diseases	glioblastoma	growth restriction	hematopoiesis	hepatocelluar carcinoma	hyperhomocysteinemia	infertility	liver cancer	Mareks disease	Medulloblastoma	Meningioma	Mullerian aplasia	myeloproliferative polycythaemia vera	neural tube defects	neuroblastoma	obesity	pheochromocytoma	Pituitary adenoma	Prader-Willi syndrome	pre-eclampsia	Silver-Russell syndrome	trophoblastic tumor	Wiedemann-Beckwith syndrome	Wilms tumor	chronic myeloid leukemia	esophageal cancer	renal cancer	adenocarcinoma	oesophageal adenocarcinoma	epithelial ovarian cancer	gastrointestinal cancer	laryngeal squamous cell carcinoma	oesophageal squamous cell carcinoma	pancreas cancer	rheumatoid arthritis	small cell lung cancer	non-functioning pituitary adenoma	serous ovarian cancer	transient neonatal diabetes mellitus	multiple sclerosis	type 1 diabetes	narcolepsy	decreased myogenesis	uterus cancer	renal cell carcinoma (RCC)	diabetes mellitus	clear cell renal cell carcinoma	heroin abuse	myelodysplastic syndrome	nonfunctioning pituitary adenomas	drug abuse	myopia	diffuse large B-cell lymphoma	Burkitts lymphoma	squamous-cell lung carcinomas	Downs syndrome	glucose metabolism disorder	Parkinsons disease	psoriasis	Burkitts lymphomas	cleft lip	diabetic nephropathy	Hodgkins lymphoma	murine plasmacytomas	rhabdomyosarcoma	Spinocerebellar ataxia type 7	cardiomyopathy	Human Dilated Cardiomyopathy	dyskeratosis congenita	squamous carcinoma	tongue squamous cell carcinomas	Klinefelters syndrome
colon cancer	0.022082402	0.454209032	0.036761943	0.424592019	0.163074998	0.163074998	0.049857993	0.255046685	0.271481054	0.32354693	0.028013277	0.069898901	0.028013277	0.028013277	0.028013277	0.101626678	0.222834703	0.842271159	0.163074998	0.163074998	0.271481054	0.036761943	0.206873557	0.424592019	0.206873557	0.255046685	0.32354693	0.049857993	0.036761943	0.069898901	0.049857993	0.206873557	0.022082402	0.049857993	0.163074998	0.222834703	1	0.32354693	0.255046685	0.133086931	0.022082402	0.112414826	0.028013277	0.022082402	0.163074998	0.101626678	0.036761943	0.036761943	0.036761943	0.036761943	0.049857993	0.255046685	0.018021641	0.018021641	0.163074998	0.018021641	0.036761943	0.206873557	0.028013277	0.368193283	0.036761943	0.028013277	0.036761943	0.133086931	0.036761943	0.454209032	0.028013277	0.036761943	0.022082402	0.049857993	0.022082402	0.255046685	0.206873557	0.049857993	0.049857993	0.133086931	0.036761943	0.069898901	0.049857993	0.049857993	0.049857993	0.133086931	0.163074998	0.206873557	0.163074998	0.018021641	0.125202196	0.32354693	0.036761943	0.112414826	0.271481054	0.049857993	0.206873557	0.133086931	0.133086931	0.271481054	0.163074998	0.049857993	0.163074998	0.101626678	0.098694817	0.163074998	0.133086931	0.036761943	0.222834703	0.133086931	0.098694817	0.098694817	0.053628691	0.069898901	0.255046685	0.049857993	0.069898901	0.424592019	0.206873557	0.133086931	0.206873557	0.028013277	0.028013277	0.154659246	0.163074998	0.036761943	0.163074998	0.089279004	0.069898901	0.028013277	0.069898901	0.125202196	0.049857993	0.206873557	0.133086931	0.424592019	0.271481054	0.164303377	0.255046685	0.163074998	0.424592019	0.163074998	0.255046685	0.206873557	0.022082402	0.163074998	0.068032244	0.098097872	0.022082402	0.028013277	0.028013277	0.069898901	0.069898901	0.206873557	0.163074998	0.036761943	0.133086931	0.028013277	0.163074998	0.068032244	0.049857993	0.022082402	0.112414826	0.098097872	0.133086931	0.069898901	0.049857993	0.028013277	0.049857993	0.098097872	0.069898901	0.049857993	0.163074998	0.088150203	0.163074998	0.028013277	0.049857993	0.028013277	0.049857993	0.164303377	0.255046685	0.069898901
gallbladder cancer	0.032258637	0.517415251	0.047619921	0.549999175	0.23822486	0.23822486	0.061343273	0.372579866	0.351665478	0.444229946	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.274166874	0.372579866	0.23822486	0.23822486	0.351665478	0.047619921	0.284037401	0.549999175	0.284037401	0.372579866	0.444229946	0.061343273	0.047619921	0.082379097	0.061343273	0.284037401	0.032258637	0.061343273	0.23822486	0.274166874	0.32354693	1	0.372579866	0.206873557	0.032258637	0.18526914	0.03846223	0.032258637	0.23822486	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.372579866	0.028013277	0.028013277	0.23822486	0.028013277	0.047619921	0.284037401	0.03846223	0.453010236	0.047619921	0.03846223	0.047619921	0.206873557	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.372579866	0.284037401	0.061343273	0.061343273	0.206873557	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.206873557	0.23822486	0.284037401	0.23822486	0.028013277	0.17190262	0.444229946	0.047619921	0.18526914	0.351665478	0.061343273	0.284037401	0.206873557	0.206873557	0.351665478	0.23822486	0.061343273	0.23822486	0.115768709	0.144176356	0.23822486	0.206873557	0.047619921	0.274166874	0.206873557	0.144176356	0.144176356	0.078342404	0.082379097	0.372579866	0.061343273	0.082379097	0.549999175	0.284037401	0.206873557	0.284037401	0.03846223	0.03846223	0.17181763	0.23822486	0.047619921	0.23822486	0.115648379	0.082379097	0.03846223	0.082379097	0.17190262	0.061343273	0.284037401	0.206873557	0.549999175	0.351665478	0.21283189	0.372579866	0.23822486	0.549999175	0.23822486	0.372579866	0.284037401	0.032258637	0.23822486	0.093408273	0.170310041	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.284037401	0.23822486	0.047619921	0.206873557	0.03846223	0.23822486	0.093408273	0.061343273	0.032258637	0.18526914	0.170310041	0.206873557	0.082379097	0.061343273	0.03846223	0.061343273	0.170310041	0.082379097	0.061343273	0.23822486	0.15991791	0.23822486	0.03846223	0.061343273	0.03846223	0.061343273	0.21283189	0.372579866	0.082379097
esophageal squamous cell carcinoma	0.026217688	0.479833079	0.041172339	0.475531084	0.193613418	0.193613418	0.054521373	0.681647619	0.304051121	0.372579866	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.302808285	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.720502458	0.23822486	0.302808285	0.372579866	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.255046685	0.372579866	1	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	1	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.302808285	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.372579866	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.302808285	0.054521373	0.07496322	0.475531084	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.720502458	0.304051121	0.184015148	0.681647619	0.193613418	0.475531084	0.193613418	1	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.302808285	0.07496322
acute myeloid leukemia	0.022082402	0.454209032	0.036761943	0.271481054	0.163074998	0.163074998	0.049857993	0.163074998	0.271481054	0.206873557	0.028013277	0.069898901	0.028013277	0.028013277	0.028013277	0.101626678	0.222834703	0.163074998	0.163074998	0.163074998	0.271481054	0.036761943	0.206873557	0.271481054	0.206873557	0.163074998	0.206873557	0.049857993	0.036761943	0.069898901	0.049857993	0.206873557	0.022082402	0.049857993	0.163074998	0.222834703	0.133086931	0.206873557	0.163074998	1	0.022082402	0.395774731	0.028013277	0.022082402	0.163074998	0.101626678	0.036761943	0.036761943	0.036761943	0.036761943	0.049857993	0.163074998	0.018021641	0.018021641	0.163074998	0.018021641	0.036761943	0.7283321	0.028013277	0.368193283	0.036761943	0.028013277	0.036761943	0.133086931	0.036761943	0.454209032	0.028013277	0.036761943	0.022082402	0.049857993	0.022082402	0.163074998	0.206873557	0.049857993	0.049857993	0.133086931	0.036761943	0.069898901	0.049857993	0.049857993	0.049857993	0.468554247	0.57413213	0.490223176	0.38643481	0.018021641	0.125202196	0.206873557	0.036761943	0.266386647	0.271481054	0.049857993	0.206873557	0.133086931	0.315372824	0.271481054	0.163074998	0.049857993	0.163074998	0.101626678	0.098694817	0.163074998	0.315372824	0.036761943	0.222834703	0.133086931	0.098694817	0.098694817	0.053628691	0.069898901	0.163074998	0.049857993	0.069898901	0.271481054	0.490223176	0.133086931	0.206873557	0.028013277	0.028013277	0.154659246	0.163074998	0.036761943	0.163074998	0.089279004	0.069898901	0.028013277	0.069898901	0.125202196	0.049857993	0.206873557	0.687384851	0.271481054	0.271481054	0.164303377	0.163074998	0.163074998	0.271481054	0.163074998	0.163074998	0.206873557	0.022082402	0.163074998	0.068032244	0.098097872	0.022082402	0.028013277	0.028013277	0.069898901	0.069898901	0.206873557	0.163074998	0.036761943	0.133086931	0.028013277	0.38643481	0.068032244	0.049857993	0.022082402	0.266386647	0.232460113	0.133086931	0.069898901	0.049857993	0.028013277	0.049857993	0.232460113	0.069898901	0.049857993	0.38643481	0.208887367	0.163074998	0.028013277	0.049857993	0.028013277	0.049857993	0.164303377	0.163074998	0.069898901
abdominal aortic aneurysm	0.026217688	0.107359913	0.041172339	0.041172339	0.026217688	0.026217688	0.132409048	0.026217688	0.041172339	0.032258637	0.144176356	0.07496322	0.078342404	0.078342404	0.078342404	0.107359913	0.054521373	0.026217688	0.026217688	0.026217688	0.041172339	0.041172339	0.032258637	0.041172339	0.032258637	0.026217688	0.032258637	0.054521373	0.041172339	0.07496322	0.054521373	0.032258637	0.063671527	0.132409048	0.026217688	0.054521373	0.022082402	0.032258637	0.026217688	0.022082402	1	0.019232165	0.838709477	0.302808285	0.026217688	0.479833079	0.475531084	0.475531084	0.184015148	0.041172339	0.132409048	0.026217688	0.255046685	0.053628691	0.026217688	0.255046685	0.304051121	0.032258637	0.372579866	0.054521373	0.041172339	0.078342404	0.475531084	0.022082402	0.475531084	0.107359913	0.032258637	0.099989966	0.063671527	0.132409048	0.063671527	0.026217688	0.032258637	0.054521373	0.054521373	0.022082402	0.099989966	0.07496322	0.054521373	0.054521373	0.054521373	0.022082402	0.026217688	0.032258637	0.026217688	0.053628691	0.032258637	0.032258637	0.099989966	0.019232165	0.041172339	0.132409048	0.032258637	0.022082402	0.022082402	0.041172339	0.026217688	0.054521373	0.026217688	0.107359913	0.026217688	0.026217688	0.022082402	0.099989966	0.054521373	0.022082402	0.026217688	0.026217688	0.026217688	0.182053534	0.026217688	0.054521373	0.182053534	0.041172339	0.032258637	0.022082402	0.032258637	0.078342404	0.078342404	0.161604275	0.026217688	0.041172339	0.026217688	0.041172339	0.07496322	0.372579866	0.07496322	0.032258637	0.054521373	0.032258637	0.022082402	0.041172339	0.041172339	0.041172339	0.026217688	0.026217688	0.041172339	0.026217688	0.026217688	0.032258637	0.063671527	0.026217688	0.032258637	0.017258356	0.026217688	0.078342404	0.032258637	0.07496322	0.182053534	0.032258637	0.026217688	0.041172339	0.022082402	0.032258637	0.026217688	0.032258637	0.054521373	0.063671527	0.019232165	0.017258356	0.022082402	0.07496322	0.054521373	0.078342404	0.132409048	0.017258356	0.07496322	0.132409048	0.026217688	0.015887011	0.026217688	0.078342404	0.243677156	0.144176356	0.132409048	0.041172339	0.026217688	0.07496322
acute lymphoblastic leukemia	0.019232165	0.436595975	0.033723621	0.24904353	0.142026452	0.142026452	0.046646837	0.142026452	0.24904353	0.18526914	0.025087767	0.066414066	0.025087767	0.025087767	0.025087767	0.097685857	0.208482801	0.142026452	0.142026452	0.142026452	0.24904353	0.033723621	0.18526914	0.24904353	0.18526914	0.142026452	0.18526914	0.046646837	0.033723621	0.066414066	0.046646837	0.18526914	0.019232165	0.046646837	0.142026452	0.208482801	0.112414826	0.18526914	0.142026452	0.395774731	0.019232165	1	0.025087767	0.019232165	0.142026452	0.097685857	0.033723621	0.033723621	0.033723621	0.033723621	0.046646837	0.142026452	0.015222379	0.015222379	0.142026452	0.015222379	0.033723621	0.652270226	0.025087767	0.34447941	0.033723621	0.025087767	0.033723621	0.112414826	0.033723621	0.436595975	0.025087767	0.033723621	0.019232165	0.046646837	0.019232165	0.142026452	0.18526914	0.046646837	0.046646837	0.112414826	0.033723621	0.066414066	0.046646837	0.046646837	0.046646837	0.580614852	0.733556862	0.439027721	0.336556587	0.015222379	0.112126961	0.18526914	0.033723621	0.218010739	0.24904353	0.046646837	0.18526914	0.112414826	0.266386647	0.24904353	0.142026452	0.046646837	0.142026452	0.097685857	0.085956001	0.142026452	0.266386647	0.033723621	0.208482801	0.112414826	0.085956001	0.085956001	0.046706685	0.066414066	0.142026452	0.046646837	0.066414066	0.24904353	0.439027721	0.112414826	0.18526914	0.025087767	0.025087767	0.149894187	0.142026452	0.033723621	0.142026452	0.081900221	0.066414066	0.025087767	0.066414066	0.112126961	0.046646837	0.18526914	0.395774731	0.24904353	0.24904353	0.150723937	0.142026452	0.142026452	0.24904353	0.142026452	0.142026452	0.18526914	0.019232165	0.142026452	0.060927435	0.077860721	0.019232165	0.025087767	0.025087767	0.066414066	0.066414066	0.18526914	0.142026452	0.033723621	0.112414826	0.025087767	0.336556587	0.060927435	0.046646837	0.019232165	0.218010739	0.184504633	0.112414826	0.066414066	0.046646837	0.025087767	0.046646837	0.184504633	0.066414066	0.046646837	0.336556587	0.161222935	0.142026452	0.025087767	0.046646837	0.025087767	0.046646837	0.150723937	0.142026452	0.066414066
aortic aneurysm	0.032258637	0.115768709	0.047619921	0.047619921	0.032258637	0.032258637	0.14897652	0.032258637	0.047619921	0.03846223	0.17190262	0.082379097	0.093408273	0.093408273	0.093408273	0.115768709	0.061343273	0.032258637	0.032258637	0.032258637	0.047619921	0.047619921	0.03846223	0.047619921	0.03846223	0.032258637	0.03846223	0.061343273	0.047619921	0.082379097	0.061343273	0.03846223	0.078342404	0.14897652	0.032258637	0.061343273	0.028013277	0.03846223	0.032258637	0.028013277	0.838709477	0.025087767	1	0.372579866	0.032258637	0.517415251	0.549999175	0.549999175	0.21283189	0.047619921	0.14897652	0.032258637	0.32354693	0.068032244	0.032258637	0.32354693	0.351665478	0.03846223	0.444229946	0.061343273	0.047619921	0.093408273	0.549999175	0.028013277	0.549999175	0.115768709	0.03846223	0.115648379	0.078342404	0.14897652	0.078342404	0.032258637	0.03846223	0.061343273	0.061343273	0.028013277	0.115648379	0.082379097	0.061343273	0.061343273	0.061343273	0.028013277	0.032258637	0.03846223	0.032258637	0.068032244	0.03846223	0.03846223	0.115648379	0.025087767	0.047619921	0.14897652	0.03846223	0.028013277	0.028013277	0.047619921	0.032258637	0.061343273	0.032258637	0.115768709	0.032258637	0.032258637	0.028013277	0.115648379	0.061343273	0.028013277	0.032258637	0.032258637	0.032258637	0.200063521	0.032258637	0.061343273	0.200063521	0.047619921	0.03846223	0.028013277	0.03846223	0.093408273	0.093408273	0.17181763	0.032258637	0.047619921	0.032258637	0.047619921	0.082379097	0.444229946	0.082379097	0.03846223	0.061343273	0.03846223	0.028013277	0.047619921	0.047619921	0.047619921	0.032258637	0.032258637	0.047619921	0.032258637	0.032258637	0.03846223	0.078342404	0.032258637	0.03846223	0.023062118	0.032258637	0.093408273	0.03846223	0.082379097	0.200063521	0.03846223	0.032258637	0.047619921	0.028013277	0.03846223	0.032258637	0.03846223	0.061343273	0.078342404	0.025087767	0.023062118	0.028013277	0.082379097	0.061343273	0.093408273	0.14897652	0.023062118	0.082379097	0.14897652	0.032258637	0.021654893	0.032258637	0.093408273	0.274166874	0.17190262	0.14897652	0.047619921	0.032258637	0.082379097
atherosclerosis	0.026217688	0.107359913	0.041172339	0.041172339	0.026217688	0.026217688	0.132409048	0.026217688	0.041172339	0.032258637	0.144176356	0.07496322	0.078342404	0.078342404	0.078342404	0.107359913	0.054521373	0.026217688	0.026217688	0.026217688	0.041172339	0.041172339	0.032258637	0.041172339	0.032258637	0.026217688	0.032258637	0.054521373	0.041172339	0.07496322	0.054521373	0.032258637	0.063671527	0.132409048	0.026217688	0.054521373	0.022082402	0.032258637	0.026217688	0.022082402	0.302808285	0.019232165	0.372579866	1	0.026217688	0.479833079	0.475531084	0.475531084	0.184015148	0.041172339	0.132409048	0.026217688	0.255046685	0.053628691	0.026217688	0.255046685	0.304051121	0.032258637	0.372579866	0.054521373	0.041172339	0.078342404	0.475531084	0.022082402	0.475531084	0.107359913	0.032258637	0.099989966	0.063671527	0.132409048	0.063671527	0.026217688	0.032258637	0.054521373	0.054521373	0.022082402	0.099989966	0.07496322	0.054521373	0.054521373	0.054521373	0.022082402	0.026217688	0.032258637	0.026217688	0.053628691	0.032258637	0.032258637	0.099989966	0.019232165	0.041172339	0.132409048	0.032258637	0.022082402	0.022082402	0.041172339	0.026217688	0.054521373	0.026217688	0.107359913	0.026217688	0.026217688	0.022082402	0.099989966	0.054521373	0.022082402	0.026217688	0.026217688	0.026217688	0.182053534	0.026217688	0.054521373	0.182053534	0.041172339	0.032258637	0.022082402	0.032258637	0.078342404	0.078342404	0.161604275	0.026217688	0.041172339	0.026217688	0.041172339	0.07496322	0.372579866	0.07496322	0.032258637	0.054521373	0.032258637	0.022082402	0.041172339	0.041172339	0.041172339	0.026217688	0.026217688	0.041172339	0.026217688	0.026217688	0.032258637	0.063671527	0.026217688	0.032258637	0.017258356	0.026217688	0.078342404	0.032258637	0.07496322	0.182053534	0.032258637	0.026217688	0.041172339	0.022082402	0.032258637	0.026217688	0.032258637	0.054521373	0.063671527	0.019232165	0.017258356	0.022082402	0.07496322	0.054521373	0.078342404	0.132409048	0.017258356	0.07496322	0.132409048	0.026217688	0.015887011	0.026217688	0.078342404	0.243677156	0.144176356	0.132409048	0.041172339	0.026217688	0.07496322
basal cell carcinoma	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.304051121	0.23822486	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.163074998	0.23822486	0.193613418	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	1	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.458800952	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.23822486	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.304051121	0.304051121	0.184015148	0.193613418	0.193613418	0.304051121	0.193613418	0.193613418	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
Cardiovascular disease	0.107359913	0.223744292	0.128249503	0.128249503	0.107359913	0.107359913	0.357256553	0.107359913	0.128249503	0.115768709	0.517415251	0.176370951	0.281152579	0.281152579	0.281152579	0.223744292	0.14710564	0.107359913	0.107359913	0.107359913	0.128249503	0.128249503	0.115768709	0.128249503	0.115768709	0.107359913	0.115768709	0.14710564	0.128249503	0.176370951	0.14710564	0.115768709	0.260731217	0.357256553	0.107359913	0.14710564	0.101626678	0.115768709	0.107359913	0.101626678	0.479833079	0.097685857	0.517415251	0.479833079	0.107359913	1	0.573196756	0.573196756	0.573196756	0.128249503	0.357256553	0.107359913	0.454209032	0.246807647	0.107359913	0.454209032	0.573196756	0.115768709	0.517415251	0.14710564	0.128249503	0.281152579	0.573196756	0.101626678	0.573196756	0.223744292	0.115768709	0.311463078	0.260731217	0.357256553	0.260731217	0.107359913	0.115768709	0.14710564	0.14710564	0.101626678	0.311463078	0.176370951	0.14710564	0.14710564	0.14710564	0.101626678	0.107359913	0.115768709	0.107359913	0.246807647	0.115768709	0.115768709	0.311463078	0.097685857	0.128249503	0.357256553	0.115768709	0.101626678	0.101626678	0.128249503	0.107359913	0.14710564	0.107359913	0.223744292	0.107359913	0.107359913	0.101626678	0.311463078	0.14710564	0.101626678	0.107359913	0.107359913	0.107359913	0.428329452	0.107359913	0.14710564	0.428329452	0.128249503	0.115768709	0.101626678	0.115768709	0.281152579	0.281152579	0.305912596	0.107359913	0.128249503	0.107359913	0.128249503	0.176370951	0.517415251	0.176370951	0.115768709	0.14710564	0.115768709	0.101626678	0.128249503	0.128249503	0.128249503	0.107359913	0.107359913	0.128249503	0.107359913	0.107359913	0.115768709	0.260731217	0.107359913	0.115768709	0.094961959	0.107359913	0.281152579	0.115768709	0.176370951	0.428329452	0.115768709	0.107359913	0.128249503	0.101626678	0.115768709	0.107359913	0.115768709	0.14710564	0.260731217	0.097685857	0.094961959	0.101626678	0.176370951	0.14710564	0.281152579	0.357256553	0.094961959	0.176370951	0.357256553	0.107359913	0.093071947	0.107359913	0.281152579	0.657472144	0.517415251	0.357256553	0.128249503	0.107359913	0.176370951
coronary artery disease	0.041172339	0.128249503	0.057143926	0.057143926	0.041172339	0.041172339	0.173472727	0.041172339	0.057143926	0.047619921	0.21283189	0.093360272	0.115648379	0.115648379	0.115648379	0.128249503	0.071429946	0.041172339	0.041172339	0.041172339	0.057143926	0.057143926	0.047619921	0.057143926	0.047619921	0.041172339	0.047619921	0.071429946	0.057143926	0.093360272	0.071429946	0.047619921	0.099989966	0.173472727	0.041172339	0.071429946	0.036761943	0.047619921	0.041172339	0.036761943	0.475531084	0.033723621	0.549999175	0.475531084	0.041172339	0.573196756	1	1	0.255398362	0.057143926	0.173472727	0.041172339	0.424592019	0.089279004	0.041172339	0.424592019	0.421998728	0.047619921	0.833333028	0.071429946	0.057143926	0.115648379	0.659999252	0.036761943	0.659999252	0.128249503	0.047619921	0.138778105	0.099989966	0.173472727	0.099989966	0.041172339	0.047619921	0.071429946	0.071429946	0.036761943	0.138778105	0.093360272	0.071429946	0.071429946	0.071429946	0.036761943	0.041172339	0.047619921	0.041172339	0.089279004	0.047619921	0.047619921	0.138778105	0.033723621	0.057143926	0.173472727	0.047619921	0.036761943	0.036761943	0.057143926	0.041172339	0.071429946	0.041172339	0.128249503	0.041172339	0.041172339	0.036761943	0.138778105	0.071429946	0.036761943	0.041172339	0.041172339	0.041172339	0.226732089	0.041172339	0.071429946	0.226732089	0.057143926	0.047619921	0.036761943	0.047619921	0.115648379	0.115648379	0.187036889	0.041172339	0.057143926	0.041172339	0.057143926	0.093360272	0.549999175	0.093360272	0.047619921	0.071429946	0.047619921	0.036761943	0.057143926	0.057143926	0.057143926	0.041172339	0.041172339	0.057143926	0.041172339	0.041172339	0.047619921	0.099989966	0.041172339	0.047619921	0.031620295	0.041172339	0.115648379	0.047619921	0.093360272	0.226732089	0.047619921	0.041172339	0.057143926	0.036761943	0.047619921	0.041172339	0.047619921	0.071429946	0.099989966	0.033723621	0.031620295	0.036761943	0.093360272	0.071429946	0.115648379	0.173472727	0.031620295	0.093360272	0.173472727	0.041172339	0.030159319	0.041172339	0.115648379	0.319248128	0.21283189	0.173472727	0.057143926	0.041172339	0.093360272
